Transaction_ID,Date,Customer_ID,Product_Category,Segment,Region,Sales_Amount,Quantity,Discount_Rate,Profit_Margin,Payment_Method,Returns,Total_Profit,Quarter,High_Margin_Flag,Customer_Tier,Sales_Performances
TSC-0035,05-15-23,CUST-671,Home Appliances,Home Office,Central,3956.85,7,0.3,0.35,UPI,0,1384.9,Q2,High,Gold,Top Performer
TSC-0036,09-25-24,CUST-552,Entertainment,Home Office,East,2152.95,7,0.06,0.39,Credit Card,0,839.65,Q3,High,Silver,Average
TSC-0037,08-28-23,CUST-312,Home Appliances,Home Office,North,1383.24,1,0.2,0.15,PayPal,0,207.49,Q3,Low,Bronze,Below Average
TSC-0038,02-22-22,CUST-706,Entertainment,Corporate,West,4317.05,9,0.28,0.12,Debit Card,0,518.05,Q1,Low,Gold,Top Performer
TSC-0039,02-11-23,CUST-852,Electronics,Consumer,North,3004.3,8,0.18,0.17,Credit Card,0,510.73,Q1,Low,Gold,Average
TSC-0040,04-26-24,CUST-369,Personal Care,Consumer,North,2977.98,10,0.24,0.07,PayPal,0,208.46,Q2,Low,Silver,Average
TSC-0041,12-24-22,CUST-482,,Consumer,North,3073.57,5,0.29,0.36,Credit Card,0,1106.49,Q4,High,Gold,Average
TSC-0042,01-02-22,CUST-373,Electronics,Corporate,Central,3608.26,4,0.26,0.38,Net Banking,0,1371.14,Q1,High,Gold,Top Performer
TSC-0043,05-05-22,CUST-423,Office Supplies,Home Office,North,1599.69,1,0.17,0.27,Net Banking,0,431.92,Q2,Low,Silver,Below Average
TSC-0044,06-06-24,CUST-162,Personal Care,Corporate,West,217.53,9,0.11,0.32,Debit Card,0,69.61,Q2,High,Bronze,Below Average
TSC-0045,05-06-22,CUST-423,Personal Care,Consumer,Central,4062.44,8,0.14,0.28,Net Banking,1,1137.48,Q2,Low,Gold,Top Performer
TSC-0046,11-14-22,CUST-833,Electronics,Corporate,West,688.08,2,0.25,0.18,UPI,0,123.85,Q4,Low,Bronze,Below Average
TSC-0047,05-10-23,CUST-509,Personal Care,Home Office,Central,3623.01,4,0.26,0.27,Debit Card,0,978.21,Q2,Low,Gold,Top Performer
TSC-0048,04-15-24,CUST-180,Entertainment,Corporate,South,,4,0.25,0.34,Credit Card,0,155.54,Q2,High,Bronze,Below Average
TSC-0049,08-23-22,CUST-691,Personal Care,Home Office,South,1907.77,7,0.18,0.33,UPI,0,629.56,Q3,High,Silver,Below Average
TSC-0050,06-27-23,CUST-311,Office Supplies,Home Office,South,361.98,3,0.14,0.08,PayPal,0,28.96,Q2,Low,Bronze,Below Average
TSC-0051,08-24-22,CUST-492,Office Supplies,Home Office,South,2634.96,8,0.09,0.21,Credit Card,0,553.34,Q3,Low,Silver,Average
TSC-0052,08-23-22,CUST-624,,Corporate,Central,3283.02,7,0.0,0.19,Net Banking,0,623.77,Q3,Low,Gold,Top Performer
TSC-0053,04-05-22,CUST-823,Office Supplies,Corporate,North,898.59,10,0.23,0.31,Credit Card,0,278.56,Q2,High,Bronze,Below Average
TSC-0054,10-08-23,CUST-807,Entertainment,Consumer,East,1889.56,4,0.08,0.23,Net Banking,0,434.6,Q4,Low,Silver,Below Average
TSC-0055,12-06-23,CUST-910,Home Appliances,Consumer,East,4654.69,9,0.1,0.17,UPI,0,791.3,Q4,Low,Gold,Top Performer
TSC-0056,10-11-22,CUST-745,Electronics,Corporate,South,2239.83,6,0.25,0.3,UPI,0,671.95,Q4,Low,Silver,Average
TSC-0057,01-04-23,CUST-678,Office Supplies,Consumer,North,,3,0.02,0.22,UPI,0,884.97,Q1,Low,Bronze,Below Average
TSC-0058,11-05-23,CUST-487,Personal Care,Home Office,West,4639.56,7,0.28,0.14,Debit Card,0,649.54,Q4,Low,Gold,Top Performer
TSC-0059,02-04-24,CUST-173,Office Supplies,Consumer,North,4873.01,6,0.0,0.36,Net Banking,0,1754.28,Q1,High,Gold,Top Performer
TSC-0060,06-21-23,CUST-608,Personal Care,Home Office,West,4496.69,8,0.28,0.09,Credit Card,0,404.7,Q2,Low,Gold,Top Performer
TSC-0061,09-12-22,CUST-847,Personal Care,Consumer,East,1621.16,5,0.14,0.06,Credit Card,0,97.27,Q3,Low,Silver,Below Average
TSC-0062,06-05-23,CUST-991,Office Supplies,Consumer,North,4814.74,6,0.03,0.1,Credit Card,0,481.47,Q2,Low,Gold,Top Performer
TSC-0063,04-08-23,CUST-350,Entertainment,Home Office,North,4071.36,1,0.2,0.11,Debit Card,0,447.85,Q2,Low,Gold,Top Performer
TSC-0064,01-31-23,CUST-532,Personal Care,Consumer,East,4194.02,8,0.27,0.24,Debit Card,0,1006.56,Q1,Low,Gold,Top Performer
TSC-0065,02-07-24,CUST-819,Personal Care,Consumer,North,125.11,1,0.13,0.27,Net Banking,0,33.78,Q1,Low,Bronze,Below Average
TSC-0066,08-28-24,CUST-843,Office Supplies,Consumer,West,4773.48,3,0.21,0.21,Debit Card,0,1002.43,Q3,Low,Gold,Top Performer
TSC-0067,02-22-24,CUST-783,Personal Care,Corporate,North,,2,0.29,0.12,UPI,0,468.19,Q1,Low,Bronze,Below Average
TSC-0068,12-12-23,CUST-966,Personal Care,Consumer,West,3851.44,6,0.07,0.1,Credit Card,0,385.14,Q4,Low,Gold,Top Performer
TSC-0069,09-04-23,CUST-373,Office Supplies,Corporate,South,453.55,8,0.25,0.22,UPI,0,99.78,Q3,Low,Bronze,Below Average
TSC-0070,07-12-22,CUST-642,Office Supplies,Corporate,North,1201.21,8,0.09,0.25,Debit Card,1,300.3,Q3,Low,Bronze,Below Average
TSC-0071,01-08-24,CUST-386,Electronics,Corporate,West,4813.2,7,0.13,0.16,Credit Card,0,770.11,Q1,Low,Gold,Top Performer
TSC-0072,11-09-22,CUST-411,Entertainment,Corporate,East,2528.35,7,0.08,0.13,PayPal,0,328.69,Q4,Low,Silver,Average
TSC-0073,02-12-24,CUST-619,Entertainment,Corporate,South,2019.4,8,0.13,0.08,UPI,0,161.55,Q1,Low,Silver,Below Average
TSC-0074,04-09-23,CUST-520,Personal Care,Consumer,North,4207.71,5,0.0,0.06,PayPal,0,252.46,Q2,Low,Gold,Top Performer
TSC-0075,01-17-23,CUST-376,Entertainment,Home Office,West,482.34,3,0.09,0.09,Net Banking,0,43.41,Q1,Low,Bronze,Below Average
TSC-0076,10-15-23,CUST-624,Personal Care,Consumer,North,2113.86,2,0.13,0.31,UPI,0,655.3,Q4,High,Silver,Average
TSC-0077,11-24-23,CUST-577,Electronics,Corporate,West,1909.72,3,0.19,0.17,Credit Card,0,324.65,Q4,Low,Silver,Below Average
TSC-0078,02-01-24,CUST-967,Office Supplies,Consumer,North,1781.76,3,0.19,0.06,Credit Card,0,106.91,Q1,Low,Silver,Below Average
TSC-0079,04-06-22,CUST-332,Office Supplies,Home Office,South,1573.08,7,0.18,0.23,PayPal,0,361.81,Q2,Low,Silver,Below Average
TSC-0080,05-31-22,CUST-480,Office Supplies,Consumer,South,1089.87,1,0.09,0.24,Credit Card,0,261.57,Q2,Low,Bronze,Below Average
TSC-0081,11-05-22,CUST-405,Entertainment,Consumer,North,905.91,7,0.28,0.2,UPI,0,181.18,Q4,Low,Bronze,Below Average
TSC-0082,03-10-24,CUST-319,Electronics,Corporate,North,3220.01,6,0.12,0.09,Debit Card,0,289.8,Q1,Low,Gold,Top Performer
TSC-0083,05-16-23,CUST-847,Entertainment,Corporate,Central,4601.0,10,0.07,0.31,Debit Card,0,1426.31,Q2,High,Gold,Top Performer
TSC-0084,09-08-24,CUST-225,Entertainment,Consumer,North,2568.82,2,0.17,0.29,Credit Card,0,744.96,Q3,Low,Silver,Average
TSC-0085,07-11-23,CUST-209,Electronics,Corporate,North,1524.97,10,0.22,0.19,Net Banking,1,289.74,Q3,Low,Silver,Below Average
TSC-0086,11-02-23,CUST-109,Electronics,Corporate,South,837.84,1,0.0,0.18,UPI,0,150.81,Q4,Low,Bronze,Below Average
TSC-0087,05-03-23,CUST-947,Electronics,Home Office,North,4159.21,9,0.08,0.1,Net Banking,0,415.92,Q2,Low,Gold,Top Performer
TSC-0088,04-29-22,CUST-605,Electronics,Corporate,East,4858.89,2,0.25,0.31,PayPal,0,1506.26,Q2,High,Gold,Top Performer
TSC-0089,04-25-22,CUST-646,Office Supplies,Consumer,North,1778.32,4,0.15,0.26,Credit Card,0,462.36,Q2,Low,Silver,Below Average
TSC-0090,12-01-23,CUST-174,,Consumer,Central,1490.2,9,0.12,0.08,PayPal,0,119.22,Q4,Low,Bronze,Below Average
TSC-0091,02-24-24,CUST-895,Home Appliances,Home Office,West,3027.39,9,0.28,0.18,Net Banking,0,544.93,Q1,Low,Gold,Average
TSC-0092,01-05-23,CUST-587,,Home Office,South,3887.88,1,0.03,0.37,UPI,0,1438.52,Q1,High,Gold,Top Performer
TSC-0093,06-10-23,CUST-221,,Consumer,East,2304.24,2,0.18,0.21,Net Banking,0,483.89,Q2,Low,Silver,Average
TSC-0094,01-01-22,CUST-935,Home Appliances,Consumer,West,3168.86,2,0.1,0.16,Debit Card,1,507.02,Q1,Low,Gold,Top Performer
TSC-0095,01-11-24,CUST-962,Electronics,Corporate,East,3596.92,2,0.02,0.28,Net Banking,0,1007.14,Q1,Low,Gold,Top Performer
TSC-0096,12-04-22,CUST-672,Home Appliances,Consumer,South,4804.93,8,0.06,0.12,Net Banking,1,576.59,Q4,Low,Gold,Top Performer
TSC-0097,08-09-24,CUST-706,Entertainment,Consumer,Central,866.93,8,0.19,0.23,Net Banking,0,199.39,Q3,Low,Bronze,Below Average
TSC-0098,11-16-22,CUST-685,Personal Care,Consumer,South,4987.04,10,0.01,0.28,Net Banking,0,1396.37,Q4,Low,Gold,Top Performer
TSC-0099,02-02-22,CUST-705,Personal Care,Consumer,East,1991.18,8,0.18,0.35,UPI,0,696.91,Q1,High,Silver,Below Average
TSC-0100,11-15-22,CUST-227,Electronics,Consumer,East,3629.84,4,0.29,0.29,Credit Card,0,1052.65,Q4,Low,Gold,Top Performer
TSC-0101,01-02-23,CUST-833,Office Supplies,Corporate,South,2883.45,8,0.24,0.18,UPI,0,519.02,Q1,Low,Silver,Average
TSC-0102,02-18-22,CUST-283,Electronics,Consumer,North,2459.01,7,0.1,0.32,PayPal,0,786.88,Q1,High,Silver,Average
TSC-0103,04-02-22,CUST-394,Office Supplies,Consumer,South,3505.47,8,0.04,0.36,Debit Card,0,1261.97,Q2,High,Gold,Top Performer
TSC-0104,07-22-23,CUST-986,Personal Care,Consumer,Central,2008.98,1,0.14,0.22,Credit Card,0,441.98,Q3,Low,Silver,Below Average
TSC-0105,03-21-24,CUST-412,Electronics,Consumer,South,674.24,3,0.12,0.05,Debit Card,1,33.71,Q1,Low,Bronze,Below Average
TSC-0106,10-07-23,CUST-566,Entertainment,Consumer,West,2470.02,10,0.29,0.36,Debit Card,0,889.21,Q4,High,Silver,Average
TSC-0107,02-15-22,CUST-585,Home Appliances,Consumer,North,2633.48,6,0.3,0.11,Credit Card,0,289.68,Q1,Low,Silver,Average
TSC-0108,10-09-22,CUST-813,Office Supplies,Corporate,West,1049.42,1,0.12,0.09,Credit Card,0,94.45,Q4,Low,Bronze,Below Average
TSC-0109,07-11-22,CUST-586,Home Appliances,Consumer,South,4681.32,4,0.04,0.16,PayPal,0,749.01,Q3,Low,Gold,Top Performer
TSC-0110,11-15-23,CUST-734,Home Appliances,Consumer,North,1176.0,9,0.27,0.18,UPI,0,211.68,Q4,Low,Bronze,Below Average
TSC-0111,01-10-23,CUST-652,Electronics,Consumer,West,2075.68,7,0.24,0.33,Credit Card,0,684.97,Q1,High,Silver,Below Average
TSC-0112,11-29-23,CUST-221,Home Appliances,Corporate,West,816.9,1,0.15,0.19,PayPal,1,155.21,Q4,Low,Bronze,Below Average
TSC-0113,10-03-22,CUST-289,Entertainment,Home Office,North,2702.19,6,0.11,0.07,Net Banking,0,189.15,Q4,Low,Silver,Average
TSC-0114,07-17-24,CUST-759,Home Appliances,Consumer,North,1572.81,6,0.13,0.27,Credit Card,0,424.66,Q3,Low,Silver,Below Average
TSC-0115,04-16-24,CUST-478,Electronics,Home Office,East,2471.9,2,0.27,0.28,UPI,0,692.13,Q2,Low,Silver,Average
TSC-0116,09-20-22,CUST-831,Entertainment,Consumer,North,1161.85,6,0.06,0.33,Net Banking,0,383.41,Q3,High,Bronze,Below Average
TSC-0117,12-01-23,CUST-386,Personal Care,Home Office,South,316.19,10,0.24,0.19,Net Banking,0,60.08,Q4,Low,Bronze,Below Average
TSC-0118,01-03-24,CUST-965,Home Appliances,Consumer,Central,3907.17,2,0.01,0.08,Net Banking,0,312.57,Q1,Low,Gold,Top Performer
TSC-0119,04-07-23,CUST-674,Electronics,Corporate,East,3223.38,8,0.28,0.24,Net Banking,1,773.61,Q2,Low,Gold,Top Performer
TSC-0120,03-20-24,CUST-947,Personal Care,Corporate,North,1736.66,7,0.15,0.09,Debit Card,0,156.3,Q1,Low,Silver,Below Average
TSC-0121,05-13-24,CUST-504,Personal Care,Consumer,Central,285.1,6,0.07,0.06,UPI,0,17.11,Q2,Low,Bronze,Below Average
TSC-0122,09-27-23,CUST-198,Office Supplies,Home Office,East,4334.6,10,0.0,0.32,PayPal,0,1387.07,Q3,High,Gold,Top Performer
TSC-0123,03-23-24,CUST-197,Entertainment,Corporate,South,890.49,6,0.17,0.19,Credit Card,0,169.19,Q1,Low,Bronze,Below Average
TSC-0124,,CUST-734,Home Appliances,Consumer,Central,4657.17,9,0.07,0.23,PayPal,0,1071.15,Q1,Low,Gold,Top Performer
TSC-0125,02-11-23,CUST-200,Electronics,Consumer,North,2419.05,9,0.19,0.28,Debit Card,0,677.33,Q1,Low,Silver,Average
TSC-0126,02-27-24,CUST-579,Office Supplies,Consumer,North,1734.91,10,0.08,0.19,Net Banking,0,329.63,Q1,Low,Silver,Below Average
TSC-0127,01-14-24,CUST-213,Entertainment,Home Office,South,3721.71,10,0.03,0.07,Credit Card,0,260.52,Q1,Low,Gold,Top Performer
TSC-0128,06-09-22,CUST-505,Office Supplies,Corporate,East,4390.36,2,0.15,0.14,UPI,0,614.65,Q2,Low,Gold,Top Performer
TSC-0129,11-23-23,CUST-717,Entertainment,Consumer,Central,1885.03,3,0.17,0.12,Credit Card,0,226.2,Q4,Low,Silver,Below Average
TSC-0130,05-08-24,CUST-255,Entertainment,Corporate,South,2066.35,10,0.14,0.39,Credit Card,1,805.88,Q2,High,Silver,Below Average
TSC-0131,08-09-22,CUST-164,Home Appliances,Home Office,East,2194.13,7,0.14,0.31,PayPal,0,680.18,Q3,High,Silver,Average
TSC-0132,11-05-22,CUST-877,Entertainment,Corporate,West,4615.5,10,0.18,0.21,Net Banking,0,969.26,Q4,Low,Gold,Top Performer
TSC-0133,04-09-22,CUST-961,Office Supplies,Corporate,West,3478.19,9,0.16,0.07,UPI,0,243.47,Q2,Low,Gold,Top Performer
TSC-0134,04-26-23,CUST-878,Entertainment,Corporate,East,,6,0.04,0.09,Credit Card,0,114.83,Q2,Low,Bronze,Below Average
TSC-0135,07-26-22,CUST-633,Home Appliances,Consumer,North,965.75,1,0.06,0.33,Debit Card,0,318.7,Q3,High,Bronze,Below Average
TSC-0136,01-26-22,CUST-490,Home Appliances,Consumer,North,1190.32,7,0.04,0.38,Debit Card,0,452.32,Q1,High,Bronze,Below Average
TSC-0137,02-06-24,CUST-440,Office Supplies,Home Office,West,1354.64,1,0.21,0.06,Net Banking,0,81.28,Q1,Low,Bronze,Below Average
TSC-0138,05-28-22,CUST-951,Personal Care,Consumer,North,1189.41,5,0.16,0.37,Credit Card,0,440.08,Q2,High,Bronze,Below Average
TSC-0139,06-21-24,CUST-660,Personal Care,Home Office,North,3309.61,9,0.13,0.18,Net Banking,0,595.73,Q2,Low,Gold,Top Performer
TSC-0140,05-16-23,CUST-574,Entertainment,Consumer,East,623.87,10,0.24,0.12,Credit Card,0,74.86,Q2,Low,Bronze,Below Average
TSC-0141,09-01-23,CUST-542,Electronics,Consumer,East,1967.42,10,0.1,0.09,UPI,0,177.07,Q3,Low,Silver,Below Average
TSC-0142,07-20-24,CUST-400,Entertainment,Home Office,North,3144.02,9,0.17,0.32,Debit Card,0,1006.09,Q3,High,Gold,Top Performer
TSC-0143,12-26-22,CUST-750,Office Supplies,Corporate,East,1489.76,1,0.02,0.21,PayPal,0,312.85,Q4,Low,Bronze,Below Average
TSC-0144,12-12-22,CUST-436,Office Supplies,Consumer,Central,373.11,6,0.22,0.34,Net Banking,1,126.86,Q4,High,Bronze,Below Average
TSC-0145,05-12-24,CUST-681,Office Supplies,Corporate,West,455.03,3,0.21,0.13,UPI,0,59.15,Q2,Low,Bronze,Below Average
TSC-0146,05-12-22,CUST-971,Office Supplies,Corporate,Central,673.54,9,0.24,0.29,Debit Card,0,195.33,Q2,Low,Bronze,Below Average
TSC-0147,05-04-22,CUST-839,Office Supplies,Corporate,Central,4187.42,3,0.27,0.09,UPI,1,376.87,Q2,Low,Gold,Top Performer
TSC-0148,04-09-24,CUST-712,Home Appliances,Consumer,North,3306.42,2,0.23,0.08,PayPal,0,264.51,Q2,Low,Gold,Top Performer
TSC-0149,10-08-22,CUST-172,Personal Care,Home Office,North,369.39,8,0.25,0.1,Credit Card,0,36.94,Q4,Low,Bronze,Below Average
TSC-0150,09-10-24,CUST-942,Office Supplies,Home Office,Central,1985.79,3,0.1,0.33,Credit Card,0,655.31,Q3,High,Silver,Below Average
TSC-0151,01-06-23,CUST-609,Electronics,Consumer,Central,1429.0,5,0.1,0.28,UPI,0,400.12,Q1,Low,Bronze,Below Average
TSC-0152,06-06-23,CUST-106,Electronics,Home Office,South,2911.3,6,0.28,0.11,UPI,0,320.24,Q2,Low,Silver,Average
TSC-0153,01-16-22,CUST-346,Electronics,Home Office,South,2637.89,10,0.27,0.18,Net Banking,0,474.82,Q1,Low,Silver,Average
TSC-0154,03-05-24,CUST-121,Electronics,Corporate,West,2431.56,10,0.16,0.32,UPI,0,778.1,Q1,High,Silver,Average
TSC-0155,02-06-24,CUST-621,Home Appliances,Corporate,Central,1606.84,1,0.11,0.15,Credit Card,0,241.03,Q1,Low,Silver,Below Average
TSC-0156,05-31-24,CUST-536,Electronics,Consumer,East,732.11,7,0.26,0.37,UPI,0,270.88,Q2,High,Bronze,Below Average
TSC-0157,01-26-23,CUST-971,Office Supplies,Consumer,South,,7,0.1,0.37,Debit Card,0,1378.16,Q1,High,Bronze,Below Average
TSC-0158,09-26-22,CUST-519,Entertainment,Corporate,North,4405.29,5,0.05,0.24,Debit Card,1,1057.27,Q3,Low,Gold,Top Performer
TSC-0159,08-12-24,CUST-540,Electronics,Home Office,Central,4723.55,9,0.19,0.27,Credit Card,0,1275.36,Q3,Low,Gold,Top Performer
TSC-0160,02-14-23,CUST-225,Home Appliances,Corporate,East,340.16,2,0.01,0.28,UPI,0,95.24,Q1,Low,Bronze,Below Average
TSC-0161,10-04-22,CUST-802,Home Appliances,Corporate,East,3712.55,5,0.11,0.14,UPI,0,519.76,Q4,Low,Gold,Top Performer
TSC-0162,10-02-22,CUST-722,Electronics,Consumer,East,3646.19,2,0.24,0.18,UPI,0,656.31,Q4,Low,Gold,Top Performer
TSC-0163,05-14-22,CUST-648,Entertainment,Consumer,North,4738.19,2,0.09,0.1,Debit Card,0,473.82,Q2,Low,Gold,Top Performer
TSC-0164,08-23-24,CUST-661,Electronics,Consumer,South,1301.93,9,0.28,0.37,Credit Card,0,481.71,Q3,High,Bronze,Below Average
TSC-0165,05-05-24,CUST-248,Home Appliances,Consumer,East,55856.85,7,0.29,0.3,Net Banking,0,1117.14,Q2,Low,Platinum,Top Performer
TSC-0166,02-21-24,CUST-656,Personal Care,Corporate,South,320.4,4,0.24,0.07,Debit Card,0,22.43,Q1,Low,Bronze,Below Average
TSC-0167,03-31-23,CUST-453,Office Supplies,Consumer,West,3174.67,8,0.3,0.24,Credit Card,1,761.92,Q1,Low,Gold,Top Performer
TSC-0168,06-07-24,CUST-274,Home Appliances,Corporate,North,1786.7,4,0.16,0.17,Credit Card,0,303.74,Q2,Low,Silver,Below Average
TSC-0169,05-10-22,CUST-933,Electronics,Consumer,South,3856.1,1,0.17,0.34,Net Banking,0,1311.07,Q2,High,Gold,Top Performer
TSC-0170,01-16-22,CUST-574,Office Supplies,Corporate,South,4323.36,10,0.25,0.17,PayPal,0,734.97,Q1,Low,Gold,Top Performer
TSC-0171,07-23-23,CUST-414,Electronics,Corporate,East,1855.86,3,0.15,0.28,Net Banking,0,519.64,Q3,Low,Silver,Below Average
TSC-0172,07-29-24,CUST-385,Electronics,Consumer,East,2651.65,10,0.12,0.11,Net Banking,0,291.68,Q3,Low,Silver,Average
TSC-0173,04-20-22,CUST-746,Personal Care,Consumer,North,631.15,1,0.18,0.25,Credit Card,0,157.79,Q2,Low,Bronze,Below Average
TSC-0174,03-27-24,CUST-826,Office Supplies,Consumer,South,2113.69,2,0.2,0.15,PayPal,0,317.05,Q1,Low,Silver,Average
TSC-0175,12-12-23,CUST-779,Office Supplies,Home Office,Central,1835.96,2,0.23,0.11,PayPal,0,201.96,Q4,Low,Silver,Below Average
TSC-0176,01-19-23,CUST-908,Personal Care,Consumer,East,956.46,7,0.2,0.27,UPI,0,258.24,Q1,Low,Bronze,Below Average
TSC-0177,04-01-24,CUST-273,Home Appliances,Corporate,East,4477.67,4,0.22,0.27,Net Banking,0,1208.97,Q2,Low,Gold,Top Performer
TSC-0178,10-08-23,CUST-294,Electronics,Home Office,West,783.03,10,0.2,0.39,Net Banking,0,305.38,Q4,High,Bronze,Below Average
TSC-0179,04-05-22,CUST-381,Entertainment,Corporate,North,3196.91,9,0.14,0.28,PayPal,0,895.13,Q2,Low,Gold,Top Performer
TSC-0180,01-13-24,CUST-423,Electronics,Consumer,South,4456.21,2,0.04,0.23,PayPal,0,1024.93,Q1,Low,Gold,Top Performer
TSC-0181,09-26-24,CUST-623,Electronics,Home Office,South,4564.24,9,0.24,0.37,PayPal,0,1688.77,Q3,High,Gold,Top Performer
TSC-0182,07-26-22,CUST-419,,Consumer,South,,6,0.01,0.34,Credit Card,0,1352.02,Q3,High,Bronze,Below Average
TSC-0183,07-22-24,CUST-271,Electronics,Consumer,East,921.9,10,0.3,0.24,Credit Card,1,221.26,Q3,Low,Bronze,Below Average
TSC-0184,06-13-22,CUST-496,Personal Care,Home Office,North,4096.29,8,0.25,0.23,Credit Card,0,942.15,Q2,Low,Gold,Top Performer
TSC-0185,04-22-22,CUST-967,Personal Care,Corporate,South,1419.0,7,0.2,0.38,Net Banking,0,539.22,Q2,High,Bronze,Below Average
